ID,Material_Alias,A5,Bhn,HV,Desc,Su,Sy,E,G,mu,Ro,pH,Use
D8894772B88F495093C43AF905AB6373,ANSI Steel SAE 1015 as-rolled,37.0,217.0,230.0,Unknown,421.0,314.0,207000,79000,0.3,7860,1300.0,True
05982AC66F064F9EBC709E7A4164613A,ANSI Steel SAE 1015 normalized,37.0,217.0,230.0,Unknown,424.0,324.0,207000,79000,0.3,7860,1300.0,True
356D6E63FF9A49A3AB23BF66BAC85DC3,ANSI Steel SAE 1015 annealed,37.0,217.0,230.0,Unknown,386.0,284.0,207000,79000,0.3,7860,1300.0,True
1C758F8714AC4E0D9BD8D8AE1625AECD,ANSI Steel SAE 1020 as-rolled,36.0,217.0,230.0,Unknown,448.0,331.0,207000,79000,0.3,7860,1300.0,True
DCE10036FC1946FC8C9108D598D116AD,ANSI Steel SAE 1020 normalized,35.8,217.0,230.0,Unknown,441.0,346.0,207000,79000,0.3,7860,1300.0,True
2EC038241908434FA714FEEBE24DDEFE,ANSI Steel SAE 1020 annealed,36.5,217.0,230.0,Unknown,395.0,295.0,207000,79000,0.3,7860,1300.0,True
356B183DD9E34A1C80A5028D43B9E149,ANSI Steel SAE 1022 as-rolled,35.0,217.0,230.0,Unknown,503.0,359.0,207000,79000,0.3,7860,1300.0,True
95CB82FA86314D8490932A9E740744E3,ANSI Steel SAE 1022 normalized,34.0,217.0,230.0,Unknown,483.0,359.0,207000,79000,0.3,7860,1300.0,True
942333E2D11B4C2CA0B9DFD6D1CE38E0,ANSI Steel SAE 1022 annealed,35.0,217.0,230.0,Unknown,450.0,317.0,207000,79000,0.3,7860,1300.0,True
5E035DD0692F47E3A92EB298101AA124,ANSI Steel SAE 1030 as-rolled,32.0,217.0,230.0,Unknown,552.0,345.0,207000,79000,0.3,7860,1300.0,False
8C9BE76E417841C3B821D4776B498039,ANSI Steel SAE 1030 normalized,32.0,217.0,230.0,Unknown,517.0,345.0,207000,79000,0.3,7860,1300.0,False
39E235137DD74F3CA35EA024AFD04964,ANSI Steel SAE 1030 annealed,31.0,217.0,230.0,Unknown,464.0,341.0,207000,79000,0.3,7860,1300.0,True
436484F7350147F7A2982D1410FB03CC,ANSI Steel SAE 1030 tempered at 400 F,17.0,217.0,230.0,Unknown,848.0,648.0,207000,79000,0.3,7860,1300.0,False
65BF7EFEEAE24296AC60198D15FCEFD6,ANSI Steel SAE 1040 as-rolled,25.0,217.0,230.0,Unknown,621.0,414.0,207000,79000,0.3,7860,1300.0,False
E9134C5FCB8C41569B3B50315A4D13A5,ANSI Steel SAE 1040 normalized,28.0,217.0,230.0,Unknown,590.0,374.0,207000,79000,0.3,7860,1300.0,False
CEEFEC39D52C4CBC9FD7A599BF6E4078,ANSI Steel SAE 1040 annealed,30.0,217.0,230.0,Unknown,519.0,353.0,207000,79000,0.3,7860,1300.0,False
C3F57A34049943E98579CCEF761EE90D,ANSI Steel SAE 1040 tempered at 400 F,19.0,217.0,230.0,Unknown,779.0,593.0,207000,79000,0.3,7860,1300.0,False
6BB34C63B60749ADA2E4522BE8B284E2,ANSI Steel SAE 1050 as-rolled,20.0,217.0,230.0,Unknown,724.0,414.0,207000,79000,0.3,7860,1300.0,False
5D7646BB490A4A41A0C059C46224189F,ANSI Steel SAE 1050 normalized,20.0,217.0,230.0,Unknown,748.0,427.0,207000,79000,0.3,7860,1300.0,False
4DD78B764534417698C437FBECD1B914,ANSI Steel SAE 1050 annealed,23.7,217.0,230.0,Unknown,636.0,365.0,207000,79000,0.3,7860,1300.0,False
60F13C35666C4904BB693C60FFC8297E,ANSI Steel SAE 1050 tempered at 600 F,14.0,217.0,230.0,Unknown,979.0,724.0,207000,79000,0.3,7860,1300.0,False
EC7B0B89340448B2A2A9AA29CC77DFB8,ANSI Steel SAE 1060 as-rolled,17.0,217.0,230.0,Unknown,814.0,483.0,207000,79000,0.3,7860,1300.0,False
EDF9BFB1E0D14FADAAFE02B8B7157D69,ANSI Steel SAE 1060 normalized,18.0,217.0,230.0,Unknown,776.0,421.0,207000,79000,0.3,7860,1300.0,False
2A8B4A39AA164951BF57C49A2FD5A8C0,ANSI Steel SAE 1060 annealed,22.5,217.0,230.0,Unknown,626.0,372.0,207000,79000,0.3,7860,1300.0,False
51BB6C68630743439C326AAF86EA0D7C,ANSI Steel SAE 1060 tempered at 600 F,13.0,217.0,230.0,Unknown,1103.0,779.0,207000,79000,0.3,7860,1300.0,False
677DEA95360F4ED08E9D8BA76BD75254,ANSI Steel SAE 1080 as-rolled,12.0,217.0,230.0,Unknown,965.0,586.0,207000,79000,0.3,7860,1300.0,False
E675A2F2E21E40B8830C1B3F23114D89,ANSI Steel SAE 1080 normalized,11.0,217.0,230.0,Unknown,1010.0,524.0,207000,79000,0.3,7860,1300.0,False
4D3E61A5DD21432FA051902D9F8B4567,ANSI Steel SAE 1080 annealed,24.7,217.0,230.0,Unknown,615.0,376.0,207000,79000,0.3,7860,1300.0,False
CE4812A480FD405E8E0DAA0516695E81,ANSI Steel SAE 1080 tempered at 600 F,12.0,217.0,230.0,Unknown,1252.5,867.5,207000,79000,0.3,7860,1300.0,False
683B75ED3E71416BA59C281AA8342B0A,ANSI Steel SAE 1095 as-rolled,9.0,217.0,230.0,Unknown,965.0,572.0,207000,79000,0.3,7860,1300.0,False
5624C3966397415184BEEE0B6D6EEF68,ANSI Steel SAE 1095 normalized,9.5,217.0,230.0,Unknown,1014.0,500.0,207000,79000,0.3,7860,1300.0,False
